Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-07-23 16:00:00-04:00,4052.300048828125,4053.60009765625,4049.800048828125,4051.89990234375,0
2026-07-23 18:00:00-04:00,4052.0,4053.5,4050.199951171875,4053.39990234375,0
2026-07-23 19:00:00-04:00,4049.39990234375,4053.800048828125,4048.800048828125,4052.199951171875,1432
2026-07-23 20:00:00-04:00,4052.39990234375,4054.10009765625,4043.199951171875,4049.800048828125,2501
2026-07-23 21:00:00-04:00,4046.0,4053.300048828125,4041.89990234375,4052.89990234375,3730
2026-07-23 22:00:00-04:00,4026.699951171875,4051.0,4025.300048828125,4045.89990234375,5607
2026-07-23 23:00:00-04:00,4031.10009765625,4036.10009765625,4025.39990234375,4027.10009765625,1806
2026-07-24 00:00:00-04:00,4029.800048828125,4032.89990234375,4027.800048828125,4031.300048828125,1626
2026-07-24 01:00:00-04:00,4025.0,4034.60009765625,4024.0,4029.800048828125,3852
2026-07-24 02:00:00-04:00,4038.39990234375,4041.39990234375,4025.0,4025.199951171875,3245
2026-07-24 03:00:00-04:00,4051.10009765625,4056.300048828125,4037.5,4038.199951171875,4751
2026-07-24 04:00:00-04:00,4060.0,4061.5,4047.5,4051.199951171875,2970
2026-07-24 05:00:00-04:00,4062.60009765625,4064.0,4054.199951171875,4060.39990234375,4520
2026-07-24 06:00:00-04:00,4062.199951171875,4067.0,4059.39990234375,4062.60009765625,2860
2026-07-24 07:00:00-04:00,4060.199951171875,4065.89990234375,4053.5,4062.5,4489
2026-07-24 08:00:00-04:00,4058.5,4062.89990234375,4054.199951171875,4060.60009765625,4587
2026-07-24 09:00:00-04:00,4070.0,4071.5,4046.89990234375,4058.800048828125,10441
2026-07-24 10:00:00-04:00,4066.199951171875,4073.0,4058.39990234375,4069.89990234375,11555
2026-07-24 11:00:00-04:00,4079.89990234375,4085.199951171875,4064.699951171875,4066.10009765625,17520
2026-07-24 12:00:00-04:00,4069.5,4080.89990234375,4066.5,4080.300048828125,5254
2026-07-24 13:00:00-04:00,4065.800048828125,4072.800048828125,4065.300048828125,4069.699951171875,8590
2026-07-24 14:00:00-04:00,4056.699951171875,4067.300048828125,4053.5,4066.0,5205
2026-07-24 15:00:00-04:00,4056.10009765625,4060.199951171875,4051.300048828125,4056.89990234375,2952
2026-07-24 16:00:00-04:00,4070.800048828125,4070.800048828125,4053.89990234375,4055.89990234375,1967
2026-07-26 18:00:00-04:00,4092.199951171875,4096.5,4086.89990234375,4091.5,2348
2026-07-26 19:00:00-04:00,4096.89990234375,4099.0,4085.800048828125,4092.89990234375,1551
2026-07-26 20:00:00-04:00,4102.60009765625,4119.2998046875,4093.199951171875,4097.2001953125,6870
2026-07-26 21:00:00-04:00,4112.0,4114.7998046875,4098.89990234375,4103.10009765625,3858
2026-07-26 22:00:00-04:00,4095.699951171875,4112.89990234375,4095.60009765625,4112.2001953125,2096
2026-07-26 23:00:00-04:00,4092.5,4097.7998046875,4087.0,4095.5,2278
2026-07-27 00:00:00-04:00,4091.699951171875,4095.0,4088.89990234375,4093.0,1062
2026-07-27 01:00:00-04:00,4095.300048828125,4097.0,4086.5,4092.5,1801
2026-07-27 02:00:00-04:00,4098.39990234375,4101.39990234375,4093.300048828125,4094.89990234375,2778
2026-07-27 03:00:00-04:00,4090.699951171875,4108.2998046875,4090.5,4098.2001953125,4417
2026-07-27 04:00:00-04:00,4097.7001953125,4098.7001953125,4088.800048828125,4090.89990234375,3722
2026-07-27 05:00:00-04:00,4098.89990234375,4102.7001953125,4091.800048828125,4096.7998046875,5636
2026-07-27 06:00:00-04:00,4102.10009765625,4104.60009765625,4088.39990234375,4098.7998046875,5028
2026-07-27 07:00:00-04:00,4095.89990234375,4107.0,4095.60009765625,4102.2001953125,3912
2026-07-27 08:00:00-04:00,4085.199951171875,4099.7998046875,4082.39990234375,4096.10009765625,11113
2026-07-27 09:00:00-04:00,4075.800048828125,4091.800048828125,4071.60009765625,4085.800048828125,17551
2026-07-27 10:00:00-04:00,4078.39990234375,4081.0,4067.10009765625,4075.89990234375,16386
2026-07-27 11:00:00-04:00,4080.60009765625,4082.199951171875,4073.89990234375,4078.300048828125,11094
